rp_entry_confirm_bars,rp_exit_confirm_bars,regime_ema_window,regime_min_slope,max_hold_bars,risk_per_trade,return_pct,annual_return,max_drawdown,calmar,net_pnl,closed_trades,total_trades,win_rate
3,4,60,0.002,20,0.005,0.41481603074787476,0.24737093163122337,0.21122499070230344,1.1711253048644388,41481.603074787476,13,26,0.5384615384615384
2,4,60,0.002,60,0.003,0.41364830500827143,0.24671502832371117,0.21122499070230366,1.168020069516426,41364.83050082714,11,22,0.45454545454545453
2,4,60,0.002,60,0.005,0.41364830500827143,0.24671502832371117,0.21122499070230366,1.168020069516426,41364.83050082714,11,22,0.45454545454545453
3,3,60,0.002,20,0.003,0.2878552786698242,0.17485731969747964,0.1521930150018864,1.1489181661544212,28785.52786698242,15,30,0.4666666666666667
3,3,60,0.002,20,0.005,0.2878552786698242,0.17485731969747964,0.1521930150018864,1.1489181661544212,28785.52786698242,15,30,0.4666666666666667
3,4,60,0.002,60,0.003,0.4039116936057457,0.24123836335207627,0.21122499070230363,1.1420919586739284,40391.16936057457,11,22,0.5454545454545454
3,4,60,0.002,60,0.005,0.4039116936057457,0.24123836335207627,0.21122499070230363,1.1420919586739284,40391.16936057457,11,22,0.5454545454545454
3,4,60,0.003,20,0.003,0.41064530836241525,0.24502736239175782,0.21995434064845468,1.113991938824142,41064.53083624152,13,26,0.5384615384615384
3,4,60,0.003,20,0.005,0.41064530836241525,0.24502736239175782,0.21995434064845468,1.113991938824142,41064.53083624152,13,26,0.5384615384615384
4,4,60,0.002,60,0.003,0.37153856117144346,0.22292907613248492,0.20016021571141213,1.113753176874572,37153.85611714434,11,22,0.5454545454545454
4,4,60,0.002,60,0.005,0.37153856117144346,0.22292907613248492,0.20016021571141213,1.113753176874572,37153.85611714434,11,22,0.5454545454545454
2,4,60,0.003,60,0.003,0.4094810249501368,0.24437269139997198,0.21995434064845462,1.1110155438602793,40948.10249501368,11,22,0.45454545454545453
2,4,60,0.003,60,0.005,0.4094810249501368,0.24437269139997198,0.21995434064845462,1.1110155438602793,40948.10249501368,11,22,0.45454545454545453
3,3,40,0.001,40,0.003,0.43875503838337465,0.2607743146909305,0.2368970324243141,1.1007918166904218,43875.50383833746,16,32,0.4375
3,3,40,0.001,40,0.005,0.43875503838337465,0.2607743146909305,0.2368970324243141,1.1007918166904218,43875.50383833746,16,32,0.4375
4,4,60,0.001,20,0.003,0.36438011730942116,0.2188593769760141,0.20016021571141213,1.0934209687881338,36438.01173094212,13,26,0.5384615384615384
4,4,60,0.001,20,0.005,0.36438011730942116,0.2188593769760141,0.20016021571141213,1.0934209687881338,36438.01173094212,13,26,0.5384615384615384
3,4,60,0.003,60,0.003,0.3997731160094531,0.23890631602482948,0.21995434064845465,1.0861632251516469,39977.31160094531,11,22,0.5454545454545454
3,4,60,0.003,60,0.005,0.3997731160094531,0.23890631602482948,0.21995434064845465,1.0861632251516469,39977.31160094531,11,22,0.5454545454545454
2,3,60,0.001,20,0.003,0.29250375566123765,0.1775568166992445,0.16460152452738352,1.0787069998838663,29250.375566123766,17,34,0.4117647058823529
2,3,60,0.001,20,0.005,0.29250375566123765,0.1775568166992445,0.16460152452738352,1.0787069998838663,29250.375566123766,17,34,0.4117647058823529
2,3,30,0.002,20,0.003,0.3151667145583322,0.19066768674335544,0.1771351422298549,1.0763967236718075,31516.671455833217,18,36,0.4444444444444444
2,3,30,0.002,20,0.005,0.3151667145583322,0.19066768674335544,0.1771351422298549,1.0763967236718075,31516.671455833217,18,36,0.4444444444444444
3,3,60,0.003,20,0.003,0.2840588226478051,0.17264998953979838,0.16157567009567456,1.0685395235406812,28405.882264780506,15,30,0.4666666666666667
3,3,60,0.003,20,0.005,0.2840588226478051,0.17264998953979838,0.16157567009567456,1.0685395235406812,28405.882264780506,15,30,0.4666666666666667
4,4,60,0.002,20,0.003,0.3522898502098312,0.2119682045683926,0.20016021571141246,1.0589926865087151,35228.98502098312,13,26,0.5384615384615384
4,4,60,0.002,20,0.005,0.3522898502098312,0.2119682045683926,0.20016021571141246,1.0589926865087151,35228.98502098312,13,26,0.5384615384615384
4,4,60,0.003,40,0.003,0.3890580404204616,0.23285681742943898,0.21995434064845473,1.0586597961328974,38905.80404204616,11,22,0.5454545454545454
